,num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking,total_energy_consumption
0,4,499200,675750000,1600000000,100,10,50,80,0,1,950000,0,0.5,29.883428735441626,701154467.6526811,2199331067.5359993,1581690658.060573,78313358.36318852,5178520970.977434,194831860.85747534,1273614491.4162383,1149472941.4152284,11192.236168039277,26926928789.762096,9868243720.744137,7503.434875690498,4941.563174089249,7187.62365862399,9691.720159013741,7540.114551540147,112.69567132264817,1494.6573088483256,48816.2003282583,67586.91797304868,6530.327433346997,6498.1614476965415,1434.2300391655713,518.095696868306,727.5894186393228,468.4388308691973,45.405715749716634,332.5538731516145,15927898622.838644,7267.728405735333,922.7942359315257,7843.565788317866,79807.26924084093
1,3,1420800,318750000,408000000,0,10,50,10,3,1,500000,1,-1.0,81.19089958777339,2173305944.2422843,3474161973.369109,2196321618.805033,247247946.82153428,4517504851.427095,388627686.3483116,1275163441.7017295,1475243592.678712,26162.25194282611,93820533398.55104,13425632245.609152,23350.301898088725,16088.925933992641,14966.774083887896,31801.428073679897,25303.3429483525,147.24169730397333,2541.1384560628153,157176.07295727447,138624.92552007118,15406.191106516222,9861.440486483418,1312.8963160841067,1162.3559678097715,770.340790036898,786.4457447820254,286.4647915090476,1459.2875347133872,60779247742.20619,15993.412256929243,1985.5770784174729,16751.400072282184,168700.25868377966
2,2,268800,1032750000,1866000000,100,100,5,80,0,1,950000,0,0.9,47.78716389084495,1468690380.6199732,2613595397.6128297,2396794548.312928,168393241.64674485,3933136489.2437983,138227782.4646791,1275412953.932336,1272281250.284374,10850.751794665583,33703361760.119175,8657991540.725967,5927.048997663728,4540.210847332176,4753.885997106885,7985.5475764207695,5671.074764955,152.05552657110877,611.6850139560017,61740.544910606775,117515.54780876458,7126.349586323159,3012.6746977060534,658.2215410833609,382.7677308221203,605.4032852993812,463.91153869792026,32.72165009009219,278.89947415516156,13676909020.883944,13369.650383264621,742.6006211931945,14620.018672000899,67245.12375721133
3,3,1420800,114750000,1600000000,100,10,5,80,3,1,950000,0,-1.0,191.42409555945983,1565520740.8978899,4421671626.585197,2958012095.277695,321226078.0154346,6870235427.623947,554825413.892657,2411035412.9158025,2328721532.8024683,14928.393376186885,26556764296.827236,20870742166.079727,14218.938675301362,10638.76880414294,8999.803513417448,8086.303089628299,8194.717799118416,165.46615563009334,1492.617459675278,218537.6286827248,150916.6237471719,16271.465925067747,16289.217127735894,3781.4315264488887,1942.0597888893103,2049.182895746523,1369.5204205180107,120.86246650534358,1168.3826834712788,13056182162.672634,32420.059422087208,3037.771161582067,29163.250446329133,193751.11509009823
4,2,1036800,420750000,204000000,0,60,5,80,0,1,500000,0,0.9,137.50280247292002,2483289214.313989,2970763047.3900304,2739862341.2271843,264642672.06388715,7258694738.108287,291291653.67604566,3902609751.0902634,3468881702.85471,61484.70967458888,260724008613.35065,25669328823.98319,58078.467471000964,69786.75349182273,42728.929091629485,46929.06117913925,75703.13756263125,116.68968854776055,10727.240837654037,158999.56255792332,218634.99784937952,58321.41544681253,57179.13251548878,12530.342902333541,2319.5971373778275,3042.9953801994116,3011.614882988229,365.63964602604875,2578.4677078403934,136375807017.1982,36573.77069607221,3700.310749482593,31785.316548406616,364362.51054342825
5,4,1420800,905250000,665600000,0,10,5,10,3,1,500000,0,0.5,50.69635317497541,1646027862.933824,2773646159.5182376,1916778540.908907,145489780.34285095,5453559798.821076,322582185.7048281,1753062351.068818,2283336499.834138,5292.301787496457,35544083265.13829,13210092020.949614,6110.7601599010995,7697.505297643007,10706.962472691299,9669.995249964353,8066.127726732961,163.24441398806903,1575.5688684564682,69977.53512217705,133387.1440930705,14601.970042009938,9171.077981138957,1220.4282465891001,886.9956282944304,757.984653677629,386.50021302527085,143.98267439154566,828.5303904505524,22071766028.40931,10728.090314432175,958.3313652552469,10114.725217750954,94849.69193961663
6,2,499200,1198500000,204000000,0,60,50,80,3,0,950000,1,-1.0,127.86717760537259,3124881647.5524874,5246981965.16493,5882596473.909781,350180397.8951058,8172538100.343887,260445087.9028809,1977413201.4478874,3214293060.7506666,26428.02084604647,253917104011.3743,17401551692.347134,22043.811387418038,47768.27183037905,62366.00030631193,99323.33549823765,73465.34947059957,0.0,8785.537995526396,282047.2340013109,120601.6182149148,48449.36505415862,22879.07742007303,9917.600281056142,2594.661371951941,1962.1396303430822,1851.2005200027113,803.03691529709,2260.635606763878,72556739619.48016,34168.15859897427,4226.30250113209,48100.386264468354,331068.41802806157
7,3,1113600,420750000,408000000,100,10,5,10,3,0,950000,0,0.5,93.45863634732287,1861566557.215794,4285491848.9943795,1579756033.025038,117518208.27636927,3440243199.5951586,308999085.5919255,1177124147.5920017,1798727332.8303268,13651.652572007742,50166827279.69744,18958587582.708557,7647.756815687571,17461.033031241353,29453.09511626506,18985.637033201318,19532.025855561595,0.0,1702.3129790977443,131927.74127501162,88387.5860360509,19176.937100954816,12972.222170559398,1960.1077623055346,1061.9427862290074,734.567679817705,1028.3827315542017,129.0142538008157,1302.478747585019,37391281146.24072,11174.496635252284,1542.0543365246165,10958.596084309234,160860.5642346901
8,3,1190400,1377000000,665600000,100,10,50,10,3,0,950000,1,0.5,54.71643498684916,858714870.8190548,1549691034.2449903,1471723719.1705565,174339519.30154586,3837256431.7882648,167007439.12513262,1686830621.7462084,2369522374.359013,5078.828592204027,30883964773.04106,13858691233.869314,8095.832233402472,3525.844065433397,10560.317687917484,15990.351472579197,8333.23612372419,0.0,1731.1196783219996,72719.29095712324,84724.35801659334,6614.699918769568,4663.98921599816,1501.2372127935835,867.2369989574381,491.9796697319811,383.32060183190083,105.92746507778664,371.04462859684133,21077202435.857403,4824.21518458667,1477.49730464683,7409.858902893175,104499.82393668235
9,4,499200,828750000,1866000000,100,100,50,80,0,0,950000,1,0.5,41.26823092095316,1425114173.0406363,2562473310.9962296,1890087141.4763267,66421360.2688575,4474477550.50883,200481373.37777504,1186693581.5653536,1798615237.0726216,5776.101958781572,22420835977.957104,7742810524.7670555,3880.8946018420665,4349.1360868485035,7199.689855754369,7725.215709940143,4761.569840060947,0.0,1080.0023396297129,90605.21355236997,107495.44437458237,5426.1276759364455,4317.566250933507,891.5824500572792,466.30711341326617,379.9742261579688,771.6879674723473,58.227446499409794,709.3769729772242,8129122819.595732,4352.372795465921,760.1244841692286,8081.093815549166,72938.30798438654
10,2,1804800,114750000,1600000000,100,60,5,80,0,1,950000,0,0.5,98.87983904149432,1319395398.819761,4716714457.567844,4046393832.082055,150480245.30446532,3219279931.2291584,497738112.0382074,1505693959.7119236,2488698505.038566,29654.207360363805,28265353681.26905,11326503284.99617,38781.1416095157,60876.63301834357,14677.035091502115,14176.631604372991,10259.713570173759,107.97746878023442,2837.868201296583,94713.77097269405,102253.66492474076,15632.673306650293,31021.239854475774,1591.022973555001,1733.7199853414015,1675.7347998972507,1235.9950155807662,158.00170482127297,1194.8445398799524,28497800191.205635,57547.85944488999,2996.9107130875445,58349.25613129469,216687.29805572677
11,2,1190400,828750000,1065600000,100,100,5,80,3,0,950000,0,0.5,58.917111622595165,651897158.6349446,3450013873.5626206,3241065584.3308964,137064923.79790685,4947279905.748088,255202224.53037545,1194530716.6070364,2255104876.913878,6678.446402336631,32465536877.956345,7189543961.634478,4057.429857200292,3756.969132780377,7176.0763304312595,12380.760603985176,12457.808692186612,0.0,1473.9235112290107,93960.97236407197,71305.12404629191,5552.0510587667495,9998.510737667651,1168.1308705855622,625.1502249350667,884.465015696995,527.1629464261173,127.89156290868904,392.01408663438536,20246379391.788086,14081.59957387544,1762.821463233249,13355.866830720393,94065.26383636217
12,4,2265600,675750000,800000000,100,100,50,80,0,0,950000,1,0.5,54.55591001392023,1658361988.9681559,2902667218.3615227,2782997332.2516747,136943748.27964345,4822388594.758329,202692900.7878484,1277940139.3883283,1296279911.863648,6747.345183914965,30741904644.901123,10373440393.166872,5257.922476586885,6879.303597441574,8914.882873300616,13908.977984227005,7073.41738989346,0.0,896.3238296779161,136256.40349534978,102103.86984877763,3299.0627161344837,2930.740717738477,1205.394298928232,605.7119643384154,392.4286512659679,973.6750840082299,92.57591051777496,870.6756947079532,11118545400.79412,9481.118610775462,1785.8292440322311,12324.34281231149,96335.47210135148
13,4,1881600,114750000,408000000,500,10,50,80,0,0,950000,0,-1.0,129.5840694457791,1903165644.8596601,2630995322.3356586,3185184440.8202896,256331384.33536902,8375526816.64529,186005328.9777644,3220819617.2955356,3178180586.0752835,11169.805808124256,65828144797.50704,9997808954.0109,25546.596212199147,19293.2764917108,23013.70591105201,33322.841644756925,23942.346089649007,0.0,1243.2253773735501,258630.1367448566,122883.87304406025,12463.148131523598,15238.910261657285,4019.9635354572692,2460.818625757231,1924.750610614285,1960.1449353610637,277.3804721386322,1645.9962025250304,37566877273.21327,15083.400372490481,5735.938038223362,27435.16509562276,315775.3319941725
14,2,1267200,1338750000,1866000000,100,10,5,10,3,0,500000,1,0.5,30.02172100454122,1199197769.3299136,3365973364.092746,1303734017.6319158,70224086.93922937,4444436427.657316,184882926.59010527,1374815356.4274986,1515405984.807183,2845.262460098484,20681103515.9694,6741543932.350161,3000.6239737607207,4192.651272357189,8856.201448963546,4593.61338700553,4986.485602361291,0.0,706.1763917175352,54655.88376913544,62712.21156430242,3574.612525584216,5838.2867382974555,684.0547580693515,616.4641777973582,575.0356997678676,319.5117470868655,85.97485038183413,722.5343262943517,16520013887.292213,8435.15971765869,1456.2704967321465,8552.706421552411,67912.14357854564
15,3,1804800,905250000,1331200000,0,10,5,80,0,1,950000,1,0.9,37.42910595473675,1318815069.8717258,1663166050.256436,1434535483.1762023,153937591.06222522,2902037179.9457974,172705903.58405268,1227354565.7404318,1526628579.1777961,7379.958602507433,19767257448.7177,10443771202.618015,2263.886492990847,5161.958896414145,4607.618596227524,8627.534055350523,4569.873288320539,146.05885723720542,550.6493774264604,54937.61718976872,63357.98572568363,8221.02445932153,3095.6837631471512,544.5096612412502,322.11693046645456,429.10790114854103,710.9889904465393,44.21502321104333,396.4830316333854,11681586683.856997,11279.02118274124,1278.658303743736,16327.922102347362,76274.33099320569
16,2,1036800,1198500000,800000000,500,100,50,10,3,1,950000,0,-1.0,35.613567447952285,1604457611.4947653,3266484424.856347,3283308478.474096,174619148.82331574,4144440790.597873,185997289.86728394,1215285407.4431589,1319948060.4417834,8862.22004475051,32488581444.8801,12306156458.959764,5297.298141416461,3457.83969020957,11419.49754130041,11532.55982275349,15150.27426993982,185.9005162276001,1145.478221456073,75792.09272513197,135344.95609836516,10249.73099683682,10101.255265230784,1488.4959059249286,888.7424745237311,961.1001983453301,765.9667332493775,127.79827140997956,503.36342246160876,18830310474.959106,14172.615371712258,1120.668855627477,13290.620206732156,85989.12339814706
17,3,499200,1236750000,408000000,100,10,5,10,0,0,950000,1,0.5,76.7825150654398,1232555573.6799123,4020886965.271701,2564401666.5234394,223882928.39253938,4011537927.061043,124815722.30869721,2009182291.1993916,1790916466.2171388,13657.88318669652,52007505880.81624,10327081554.23466,11810.907066199465,13305.799640104286,20090.90812853557,15486.251424362368,13372.939214266742,0.0,1979.5950376088747,120621.36059309039,110827.95825700281,21206.903017368993,10362.508079390223,1261.4335735426762,891.2811318789717,1227.497393867398,1195.8202633317278,291.73956724731005,972.3761842371388,47205195816.429016,10587.475192389504,2447.4367169567577,9847.04099444945,157450.28865085155
18,3,422400,1338750000,665600000,500,100,5,80,0,1,950000,0,0.5,60.22813231152435,1525452004.5724,1393829429.264482,1471579855.477906,104278354.05257906,3032230982.1241236,172085099.94512162,1072640844.0743061,1127938868.1015272,6804.924585696678,48068652680.30247,11887097663.884827,6730.618920273682,8656.054672399001,7431.794646527772,8969.796684964938,17686.417817786896,139.2484469853919,1588.000361573923,106972.61569352452,77840.9806165295,6290.543783899339,5488.877807896963,1980.4685132388836,505.8231399737596,914.155823751918,587.2184064330353,116.33790519048154,499.693071583333,30473293857.938774,18130.45543074744,1496.9831994085303,12265.487754518028,117011.33124616381
19,2,1881600,522750000,800000000,500,60,5,10,3,1,950000,1,0.9,71.77054483356837,822438429.5485667,3593980966.295886,2158497946.220571,182549313.73408195,2884884527.589199,297426532.54424363,1361139044.7991328,1455321637.2305434,16052.453163529623,35685268799.90194,7941273457.29442,11634.196070128208,5406.829354996987,11368.128562772099,11131.279907223805,6364.1133663471,156.1210437767601,683.5973546446234,110150.41178888912,116453.65427626594,11437.979354867623,5822.728692988459,1426.9139835048659,925.9570444433737,1022.8261811766547,780.6402981784378,149.16187206362687,893.0035742132867,17633534648.175312,13385.047092476289,1298.6968432350614,12314.095671881252,96105.99674031706
20,3,1497600,828750000,665600000,0,10,50,80,3,1,500000,1,-1.0,50.78483835658855,1593469726.365191,3099346918.809064,1700937221.6819966,91435755.47561485,5716354594.66325,175398374.74484256,845024183.9990685,2003710583.7065914,12811.368720044004,53531176005.18534,8848161589.017992,8551.384083939967,4965.971320928598,13258.818927610782,11920.859092915787,12544.25715596319,91.91996886179378,1537.7889605800533,142382.86578954133,131720.4030856692,13674.918131333214,8796.508452443053,1038.1535620404538,789.4792316472254,586.1349187597233,592.9898085760276,108.28397955167773,698.7241281773858,14903200153.59715,12812.086101401132,1460.5028697965286,14633.374130968727,114171.80694281992
21,1,1113600,216750000,1600000000,0,10,5,80,3,1,950000,0,-1.0,62.14856513049903,1671764078.1209247,3987010000.464472,4027366424.0763445,247462998.7864697,4267736950.9145646,148773396.43281525,1059574327.7474651,1815851268.0398839,18993.925524470396,45515252465.34213,18711044970.614914,18411.58882790874,19517.94938226479,11910.931208724198,17914.407206841945,14932.746520346594,104.22567771967609,2810.9614315664676,88407.402721236,126036.11257815806,9201.747736017016,18139.64712728834,2490.731904309086,1360.0356148057394,903.3986550485214,1400.9712492702974,145.5187978610638,873.7587794476813,10150107153.229752,21529.59867290931,1906.609801128297,28877.087413604884,121987.50614359017
22,4,345600,1198500000,1600000000,500,100,5,10,0,0,950000,0,-1.0,48.72999013353657,797591254.3473223,1532540127.2963583,2980806457.376448,77940904.36381719,4073511345.5480533,149345376.77103004,841058229.4930604,1983377009.6655216,4430.212427970489,28588093224.54812,10501532301.71776,4293.298250642258,2561.5976044046156,8878.628039607212,7469.7700387726145,4357.223936758902,0.0,1345.6939670655586,82619.12385929092,95244.01226672153,8008.367196901069,2024.4390980693167,853.1130859399823,524.7487791077072,742.9631280710298,339.9539449816508,45.032114407813836,468.9719401481055,14000049504.382683,6816.499208467312,1127.340096244854,6745.984792804094,68478.27217322944
23,2,1497600,1338750000,408000000,500,60,50,10,3,0,950000,0,0.9,100.16071018922136,1710648521.7964916,2179533150.407879,1679913493.80944,81765552.63817161,5451303658.989731,294257465.6999998,1749781126.0565636,1337689107.8460977,9228.091766097086,33145745196.257717,13146509132.410078,13069.631177098714,6990.715530764523,18606.67603696643,22879.11111257513,9827.846800891035,0.0,1891.4452904071784,133393.94346019765,62848.311429122805,10284.996305985018,14924.802801805192,1081.832369408624,1031.1767260962806,1104.8889873633873,964.9945241426276,149.56794250555143,571.6417089384883,28241432160.20181,13210.776308841978,1195.4821414585163,14750.817944468092,130567.2437131043
24,4,1651200,828750000,204000000,500,60,5,10,3,1,950000,0,0.9,127.8341560807733,2088186314.347546,3343109759.9778457,2224131945.4557214,145472794.1672536,5750383740.087674,253709559.1285924,1909694492.9678974,3368515525.6217556,30067.042816146546,230871270100.67322,21602726686.352547,17208.129924873258,44825.1963909626,38597.78762097098,73990.67948303268,64463.73816760374,72.62306012923202,3566.632043299685,196826.47553295223,233775.28646711586,57501.73673758741,24446.337685178944,5065.100341693791,2254.0244780822477,1816.4179072585953,2204.4375137669513,753.5561853956709,2388.8070529119104,86915086262.40169,36572.96828651502,3176.9328046691917,38640.208091635286,324914.7813192813
