num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,total_energy_consumption,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking
1.0,1728000,726750000,1600000000,0,60,80,50,3,0,500000,1,0.9,34.457495927800004,454531,415263069,2953709010,2863554868,47086361,1478602329,47996723,415569154,2950567374,13498,22951552304,6879422378,10552,10552,10391,10391,10713,47,1415,69322,68490,1728,6911,2209,823,833,832,106,821,16654577824,13187,832,13187
2.0,1420800,828750000,1331200000,500,10,80,5,0,0,950000,0,-1.0,26.478328466399997,373638,314234221,2383832838,2375229202,42685804,1253812308,42524132,331248253,2382320599,9905,31464389392,5396336862,8506,8506,9159,9159,9425,4,1015,56855,56215,1297,7334,1449,631,641,640,89,629,15778757568,9469,640,9469
4.0,1113600,930750000,1600000000,0,60,10,50,0,0,950000,1,0.9,37.0457444191,449532,476759097,3336925800,3318497449,56342144,1669231048,55868388,461710009,3284986377,28185,50606318365,7256931249,27633,27633,20743,20743,21165,38,2270,80388,79532,2652,10558,3410,847,857,856,233,845,40053674176,27614,856,27614
2.0,1574400,930750000,1600000000,500,100,80,50,0,1,500000,1,0.9,40.8653190136,468328,474842564,4064171965,4049229624,53317306,2703983436,53486269,478213943,4039345908,19142,21262192660,10310301923,15568,15568,17819,17819,18205,0,2957,86095,85107,3515,29117,3340,979,989,988,250,977,26931449376,19016,988,19016
3.0,1267200,1236750000,1600000000,0,60,10,5,0,1,950000,0,-1.0,23.069082260100004,432762,290835905,2304182227,2302206161,39145694,1233467886,39480654,292706060,2290202345,7607,21029110115,5249217519,7050,7050,8806,8806,9041,43,1363,52876,52308,1404,10521,1690,559,569,568,104,558,13872912896,7401,568,7401
2.0,345600,726750000,1600000000,100,60,80,5,3,0,950000,0,0.5,26.8392062187,390583,336617087,2706008290,2716392080,41861531,1522777059,42371771,332450698,2725543628,11993,16280940810,6411177011,7695,7695,9525,9525,9755,4,1691,59107,58455,1771,12931,1646,643,653,652,98,641,15311904416,9584,652,9584
2.0,652800,1134750000,1062400000,500,10,10,50,0,0,500000,1,0.5,46.3676207066,482973,492132767,2841991242,2854453395,53511426,1562546766,54386936,485271592,2868112742,21576,16051063897,6943863784,10417,10417,11002,11002,11400,11,0,95173,94071,3080,12547,0,1093,1103,1102,6,1091,15349945376,15898,1102,15898
3.0,345600,624750000,1331200000,0,10,80,5,3,1,500000,1,0.5,41.2292499542,373475,507916015,3582367562,3587633720,56482748,1997709047,56581183,506984926,3534523567,17701,50278891194,8306642244,17922,17922,22415,22415,22741,9,2064,84889,83889,3082,22092,3307,991,1001,1000,227,989,40184552768,16550,1000,16550
2.0,1728000,1032750000,1866000000,500,100,10,5,3,1,500000,1,0.9,43.8424973488,449112,508663090,3328101373,3336966621,57386419,1881033672,56449664,498108431,3305086334,26237,17325441629,7976290084,18780,18780,13585,13585,14005,89,2579,85584,84548,2249,13444,2628,1027,1037,1036,135,1025,22742027776,21260,1036,21260
2.0,1267200,930750000,800000000,100,10,10,50,0,0,950000,0,0.5,55.81703162189999,670924,687921069,5240471265,5253860994,70875694,3391319877,70563340,693188106,5244971095,41031,21472572016,13143195567,37840,37840,36387,36387,36940,6,4489,115322,113992,6476,69879,5711,1321,1331,1330,431,1319,62992952384,44836,1330,44836
2.0,1113600,1236750000,1062400000,0,60,80,50,3,0,950000,0,-1.0,43.0627572536,572233,456773194,2665213161,2691054628,50802676,1482955373,51392586,457779234,2653542908,19268,26182173277,6417237916,8541,8541,10064,10064,10411,4,0,86886,85838,2755,12334,0,1039,1049,1048,9,1037,13745341664,15575,1048,15575
3.0,1267200,726750000,1866000000,0,100,10,50,3,0,950000,0,0.9,31.2690973282,402319,332341706,2133857609,2109412469,40079210,1079687018,40663797,329262995,2103820189,9028,13681031990,5040972363,4000,4000,4926,4926,5137,1,0,62759,61999,1391,6360,0,751,761,760,4,749,7254999680,8227,760,8227
3.0,1728000,828750000,1062400000,500,10,80,50,0,0,500000,0,-1.0,26.6847224236,409800,333770825,2453942469,2456981107,43694819,1300434547,42604050,339759484,2447003960,12792,33018889685,5458924322,9488,9488,9746,9746,10015,10,1022,58654,58002,1470,7676,1506,643,653,652,81,641,16851390912,10923,652,10923
3.0,652800,624750000,665600000,100,60,80,5,0,0,500000,0,-1.0,34.235310554499996,372931,422919892,3513535717,3541201958,50564144,2273575426,50419188,416990051,3502380487,23549,15249729343,8811641690,14842,14842,15085,15085,15403,25,2376,73370,72550,3369,32749,2652,811,821,820,186,809,24222923168,19776,820,19776
4.0,1574400,1300500000,800000000,500,60,10,5,3,1,950000,0,0.5,23.148038625700003,371189,288229153,2323070635,2314056509,41246229,1281711697,41577453,283989402,2324579748,8482,22464614566,5446191593,6758,6758,8879,8879,9083,37,1334,53577,53009,1470,10357,1627,559,569,568,101,557,14444384384,8073,568,8073
3.0,345600,1236750000,1866000000,0,60,10,5,3,0,950000,0,0.5,26.6938364506,365690,314202196,2869102237,2839141839,41640487,1766989349,41594372,306456349,2850675176,10227,13969887255,7100571505,5597,5597,7536,7536,7770,124,1846,58132,57504,1825,10944,1888,619,629,628,88,617,9338627488,9051,628,9051
4.0,1881600,828750000,1600000000,100,60,80,5,3,0,500000,1,0.5,38.1455438137,406178,464089034,3238516177,3212869376,54366989,1707246422,54708088,478303423,3307478916,18727,60383035569,7625014450,15563,15563,17684,17684,18077,11,1735,77002,76074,2286,9721,2899,919,929,928,147,917,32149765856,16856,928,16856
1.0,1881600,1032750000,1866000000,0,60,80,50,3,0,950000,1,0.5,32.5307941437,368715,382564373,2713755348,2776781682,49341387,1495874613,49115074,377228133,2717212211,12900,29816199003,6333714312,10075,10075,10656,10656,10994,94,1449,65863,65091,1661,9263,1757,763,773,772,98,761,17559384992,11801,772,11801
3.0,652800,1032750000,800000000,0,10,80,50,3,0,500000,0,0.9,22.722898006399998,405223,288505881,2207264712,2216914961,40118143,1159502673,40217056,283103641,2217678027,9915,22421897993,5023229843,7679,7679,7646,7646,7844,19,1029,50945,50389,1171,4875,1373,547,557,556,79,545,13365593248,8740,556,8740
2.0,1267200,726750000,1331200000,100,10,10,50,0,1,500000,1,0.9,28.3637747765,341977,345825566,2593565410,2595778856,44838411,1380167313,44490849,344591758,2597464067,9102,30650520921,6088683260,7472,7472,10978,10978,11215,24,1508,61370,60682,1704,12217,2077,679,689,688,141,677,18281769312,8583,688,8583
4.0,960000,930750000,665600000,500,100,10,50,0,0,500000,0,0.9,41.5763525963,382123,512615596,3385567225,3403033825,57328226,1802815010,57167360,502588262,3393427355,22548,46302318944,7797943331,20677,20677,19534,19534,19939,0,2016,84143,83131,2467,12466,3091,1003,1013,1012,198,1001,37093383584,20724,1012,20724
