,num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking,total_energy_consumption
1304,3,1574400,828750000,408000000,0,60,50,10,3,1,950000,0,0.5,19.2187079336124,436477902,888433414,844272125,51934121,1335984682,81860175,443977403,578435207,4116,21093665442,3930084818,3871,3871,6833,6833,6922,42,618,36911,36619,4753,3435,640,283,293,292,59,281,11656382464,4949,584,6718,53755
1305,4,268800,114750000,1331200000,100,10,50,10,3,0,500000,0,0.5,37.66766180363309,608602195,1088671636,1050425355,81004763,1605975880,120754237,601731086,723429211,5147,13866156741,4777953764,3923,3923,4553,4553,4633,0,745,52652,52120,4301,4497,904,523,533,532,72,521,7456729952,6389,1064,7335,72634
1306,2,1344000,114750000,1866000000,100,100,5,10,0,0,950000,0,-1.0,34.80046357525896,636964949,1156461439,1126967906,71429061,1661921892,111340566,628473522,768892903,12630,11803279392,4984887334,11043,11043,4325,4325,4427,0,695,51704,51184,3564,13036,636,511,521,520,64,509,7017703520,13632,1040,14752,70160
1307,2,2265600,905250000,800000000,100,10,5,10,3,0,950000,1,-1.0,14.919110969522205,358088534,769242072,724527807,39039576,1083882507,52999989,355109351,489697927,2165,9979199153,3253995659,1956,1956,2824,2824,2860,0,342,29251,29055,1848,1726,280,187,197,196,27,185,5292949472,2504,392,3063,35775
1308,3,422400,216750000,665600000,100,60,5,80,0,1,950000,1,0.9,28.17637796013376,575383751,1065444374,1031772978,72449917,1628668809,118404590,562703935,707001458,10548,17698874448,4635047291,8795,8795,6299,6299,6420,41,887,45285,44873,5888,9307,682,403,413,412,74,401,10234588064,11611,824,13163,61517
1309,2,1728000,675750000,2133000000,0,10,5,10,0,1,950000,0,0.5,10.955649894441741,347531822,732301067,711171168,44816054,1065338941,66963724,330893577,474286964,2432,6653489770,3081757374,1390,1390,2213,2213,2249,41,268,27111,26939,1723,1843,238,163,173,172,16,161,3580155360,3405,344,3988,27381
1310,3,268800,1338750000,204000000,0,10,50,80,3,0,500000,1,0.9,46.86424450102734,676164680,1210263759,1139729200,74826368,2207457056,101215923,697715684,798689047,7639,58046383221,5477199284,9563,9563,16364,16364,16559,0,1776,57322,56766,13733,6865,1347,547,557,556,157,545,31813775936,9135,1112,10278,104914
1311,2,883200,624750000,1065600000,500,60,5,80,3,1,950000,0,0.9,16.950157612731946,411953982,845293914,799999237,46340092,1213511474,69212618,406699239,536841093,3830,10646824987,3557073034,2431,2431,3623,3623,3689,41,464,33254,32998,3159,2838,363,247,257,256,45,245,5729558432,5173,512,5512,35173
1312,2,1190400,828750000,665600000,0,100,5,80,3,1,500000,0,0.9,13.675301273212437,388861712,822948768,774310995,44120484,1190566715,62245616,383543468,524734791,3575,12388870667,3546103619,2475,2475,4274,4274,4338,41,488,31976,31744,3280,2478,390,223,233,232,39,221,7044558368,4728,464,5312,36855
1313,3,268800,1377000000,1600000000,100,60,50,80,3,1,500000,1,0.5,12.166898519365494,338095486,735076239,701756336,39917968,1050303132,49215777,330334321,474198965,2604,7427667917,3090810146,1376,1376,2327,2327,2353,42,308,26435,26275,2245,1550,225,151,161,160,13,149,4055988096,3009,320,3832,25549
