num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,total_energy_consumption,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking
1.0,1728000,726750000,1062400000,0,10,5,5,0,0,500000,1,0.9,70.1745390892029,702971,697355469,3740879838,3720230734,67365512,2058740454,67537037,692235406,3685281254,26558,27860711042,9050552593,11858,11858,13215,13215,13926,160,0,130596,128954,0,16871,2,1633,1643,1642,10,1631,17089485600,20952,1642,20952
3.0,1728000,1300500000,1062400000,0,10,50,5,0,0,500000,0,0.9,49.337528705596895,831420,566161846,3808820632,3802558140,60557345,2115539458,60735045,571400836,3862328353,13722,57923862651,9185251810,11997,11997,20441,20441,20895,3,2767,96057,94865,0,19394,3659,1183,1193,1192,246,1181,34160489280,12619,1192,12619
3.0,1267200,1300500000,800000000,0,10,5,5,0,1,950000,0,-1.0,61.1825029850006,866825,712154789,4697985448,4690236767,70656324,2644684541,70980779,717092320,4736521938,18394,66960868010,11316121473,17861,17861,30301,30301,30862,7,3582,116758,115278,0,28260,4615,1471,1481,1480,303,1469,53763179232,16889,1480,16889
1.0,652800,1300500000,1062400000,0,10,5,5,0,0,500000,0,-1.0,52.3503704071045,848340,526231991,3046290746,3000701372,54326114,1640932352,54884515,537646614,3051455456,15968,24735489523,7283341210,6688,6688,9256,9256,9549,3,0,95031,93767,0,11283,1,1255,1265,1264,6,1253,13285998976,14254,1264,14254
2.0,1113600,1300500000,1600000000,0,10,50,5,0,1,500000,1,0.9,41.45534133911129,788631,465967105,3094877869,3121033337,53752121,1683592334,53761117,474233240,3130894169,14575,40151210314,7294305302,8671,8671,12676,12676,13071,3,2106,82248,81248,0,10886,2466,991,1001,1000,166,990,22168771808,10544,1000,10544
3.0,2035200,726750000,1866000000,0,10,5,5,3,0,500000,0,-1.0,53.148115396499605,750732,595466848,3937775078,4072070917,61122435,2318876115,60425635,592096398,4028401430,12076,54634790873,9489861956,9639,9639,17467,17467,17922,4,2322,101343,100055,0,17993,3302,1279,1289,1288,277,1277,27952566496,11223,1288,11223
3.0,1881600,726750000,800000000,0,10,5,5,0,1,950000,1,0.5,67.8775506019592,696957,775697202,4846928207,4895444963,74716090,2774422849,74903914,765732354,4854062491,18436,88872632281,11515942434,16092,16092,28425,28425,29041,4,3405,128049,126413,0,27952,4960,1627,1637,1636,347,1625,47724666624,16845,1636,16845
2.0,345600,624750000,665600000,0,10,50,5,0,0,500000,0,-1.0,134.913598060608,986145,1401666557,8624358760,8701770640,118382102,5406875673,118117842,1394730259,8591398200,40689,80316449432,22228548811,22557,22557,34593,34593,35889,5,6519,231520,228276,0,35302,7628,3235,3245,3244,458,3233,54634440576,32318,3244,32318
2.0,499200,1032750000,800000000,0,10,50,5,3,0,500000,0,0.5,60.446035623550394,762834,693188279,4296108160,4395570319,68787200,2423650673,68051410,676628944,4297059706,20115,77584738222,10165285333,15223,15223,22179,22179,22782,0,2540,111930,110474,0,15889,3973,1447,1457,1456,239,1445,39350781792,16681,1456,16681
4.0,960000,1032750000,1331200000,0,10,50,5,3,0,950000,1,0.9,56.6158039569855,722415,633119978,5489000290,5527093021,64059372,3766739476,64566692,624655864,5497368169,16316,25290576366,14317068622,10326,10326,19922,19922,20443,108,4102,112594,111222,0,32953,4461,1363,1373,1372,301,1361,27045040960,15905,1372,15905
2.0,1420800,624750000,1600000000,0,10,50,5,0,1,950000,0,0.5,63.7537753582001,707290,726454465,4541550533,4480301379,67775539,2408572486,68417270,729417633,4534487334,19184,44765013840,10698634311,12102,12102,18893,18893,19479,11,3014,116736,115196,0,13854,3698,1531,1541,1540,225,1529,32245417952,15480,1540,15480
3.0,1420800,1032750000,1600000000,0,10,50,5,0,0,950000,1,0.5,45.1147985458374,704030,517259781,3550450644,3589920464,55364152,2016489509,55042704,518128434,3539400960,11354,45228488822,8419016023,8337,8337,14581,14581,14934,9,2302,88932,87836,0,16907,2885,1087,1097,1096,210,1085,24707071168,9489,1096,9489
2.0,652800,930750000,1062400000,0,10,50,5,0,0,950000,1,0.5,56.883788108825705,705450,660885391,4119956473,4167511385,66912919,2288232120,66813071,643447253,4070733279,21403,63796607915,9522045368,14850,14850,21332,21332,21876,0,2591,108431,107059,0,12807,4093,1363,1373,1372,235,1361,37740361472,16226,1372,16226
3.0,1574400,1134750000,1600000000,0,10,50,5,0,1,950000,1,0.9,44.4669213294983,711596,503986172,3517849562,3504955887,55901438,1965950986,56197760,508051297,3529329743,12128,39114771913,8368429943,9021,9021,15188,15188,15533,7,2379,88058,86986,0,17315,2962,1063,1073,1072,198,1061,25367782016,10244,1072,10244
3.0,1113600,828750000,665600000,0,10,50,5,3,0,500000,1,-1.0,72.646162033081,716560,824982960,5325368798,5306839721,78915981,2988274675,78929471,833341854,5347302364,21351,88916417105,12692304648,21140,21140,35784,35784,36428,0,4121,136853,135097,0,29897,6046,1747,1757,1756,384,1745,63298274176,19658,1756,19658
3.0,1420800,930750000,1331200000,0,10,50,5,3,0,500000,1,0.5,54.0612959861755,668164,581857131,4783216190,4799893717,58490009,3141792012,58523558,575357035,4797259235,16149,24959922750,12402829198,7445,7445,14018,14018,14474,72,3813,105325,104025,0,21860,3540,1291,1301,1300,221,1289,18374904320,13353,1300,13353
1.0,652800,1300500000,1062400000,0,10,5,5,0,0,500000,0,-1.0,54.099023103713996,864129,548046279,3145739983,3091859094,56515108,1675675163,57129427,548746926,3130991957,15551,26976468857,7663544069,7120,7120,9747,9747,10121,1,0,98439,97127,0,11230,0,1303,1313,1312,4,1301,14371356832,14386,1312,14386
2.0,499200,1032750000,1866000000,0,10,50,5,3,0,950000,0,0.5,44.23599743843079,764178,498631196,3303544388,3358885733,56683271,1903459823,56686328,495019859,3341781550,13346,44379372288,7927917476,8656,8656,13217,13217,13600,6,2170,84849,83777,0,6718,2648,1063,1073,1072,147,1061,22407440768,11039,1072,11039
3.0,960000,828750000,800000000,0,10,50,5,0,1,500000,1,-1.0,70.1342744827271,724512,738171060,5679871825,5629697736,71446533,3678064149,71941198,747306645,5666667226,20681,48369518572,14496949170,11752,11752,21166,21166,21808,87,4390,137235,135575,0,28338,5142,1651,1661,1660,377,1649,28796627520,18131,1660,18131
2.0,345600,624750000,1331200000,0,10,50,5,3,1,950000,0,0.5,69.0797078609467,692360,779118384,4801839948,4844462410,75670772,2724232181,74977725,792284204,4851111902,22491,47849018659,11497770091,14789,14789,22471,22471,23101,3,3243,125802,124130,0,16648,4300,1663,1673,1672,220,1661,38946215008,18446,1672,18446
2.0,2035200,1236750000,1062400000,0,10,5,5,3,1,500000,1,0.9,49.7352657318115,790926,583543982,3673440283,3621327505,59565139,1864785566,59732792,587817158,3711768499,19271,59953393728,8645460163,11922,11922,17376,17376,17876,33,2126,96580,95376,0,10747,3495,1195,1205,1204,199,1193,30332868512,14305,1204,14305
2.0,2035200,828750000,1866000000,0,10,50,5,3,0,500000,0,0.5,50.7566950321198,761460,587987899,3742331853,3759838753,61199911,2077580020,60267579,580962965,3699831461,15591,52422169504,8581666590,10278,10278,15566,15566,16022,34,1797,95753,94525,0,12609,2556,1219,1229,1228,158,1217,26472013024,12694,1228,12694
3.0,1267200,726750000,1331200000,0,10,5,5,0,1,950000,0,-1.0,60.0176298618317,641455,696415167,4678528665,4661522252,66797810,2641491829,67115213,703384885,4726406470,16734,44347563437,11272446689,12546,12546,22521,22521,23079,3,3505,114074,112618,0,24829,4300,1447,1457,1456,299,1445,36117081888,15476,1456,15476
3.0,345600,726750000,1331200000,0,10,5,5,0,1,500000,0,0.9,62.0497374534607,664829,698529152,4640761220,4622811056,71486431,2650970128,70904248,705304645,4666072621,16870,45102191854,11089820778,12969,12969,22931,22931,23522,3,3073,117669,116165,0,25646,4489,1495,1505,1504,350,1493,36850317760,15576,1504,15576
2.0,499200,828750000,1062400000,0,10,50,5,3,0,950000,1,-1.0,63.1375510692597,693132,659534339,4375855949,4396739278,66339317,2767194823,66094184,658829628,4375979803,21941,27130086637,11070447157,9815,9815,14903,14903,15482,90,3436,117816,116300,0,16643,3685,1507,1517,1516,196,1505,20501355008,16333,1516,16333
3.0,1728000,1236750000,800000000,0,10,50,5,3,0,950000,0,0.9,58.5010442733765,847789,677391883,4359138799,4325775323,65773998,2381057619,65960787,688507414,4356552810,15924,80561803228,10152985917,14771,14771,25391,25391,25945,9,3204,112740,111320,0,22353,4595,1411,1421,1420,318,1409,43585220992,14609,1420,14609
2.0,2035200,1134750000,1600000000,0,10,5,5,3,1,500000,0,0.5,46.3735399246216,741878,524394915,3575890969,3520854599,57026291,1888022791,57527638,538114162,3599424616,15878,48369602564,8271883990,10724,10724,14698,14698,15139,130,1717,87105,86021,0,9426,2693,1075,1085,1084,138,1073,24328808544,12776,1084,12776
3.0,2035200,930750000,1062400000,0,10,50,5,3,1,500000,0,0.9,53.465215206146205,682091,548510043,4420365610,4369788253,56623620,2889417730,55806937,553541613,4409350823,13201,29576080868,11295255397,6137,6137,12262,12262,12674,4,3326,102907,101619,0,17150,3296,1279,1289,1288,217,1277,15434513664,11306,1288,11306
3.0,1728000,1134750000,800000000,0,10,5,5,0,1,950000,1,-1.0,60.211404085159295,791662,695145134,4539876979,4584555856,68672141,2634695170,68239309,682243973,4476395727,16066,74964640503,10579982679,14865,14865,25554,25554,26074,0,3143,114818,113362,0,23595,4523,1447,1457,1456,332,1445,43953378944,14358,1456,14358
3.0,1574400,1134750000,1600000000,0,10,50,5,0,1,950000,1,0.9,48.658735752105706,742672,516399972,4301906070,4297886354,54585661,2813294255,54287754,516660465,4321815046,14586,22173030660,11221599035,6528,6528,11672,11672,12071,108,3143,97041,95861,0,18994,3179,1171,1181,1180,173,1169,14869055168,12051,1180,12051
3.0,652800,1236750000,1866000000,0,10,50,5,0,0,950000,1,0.9,39.9106492996216,795727,420601484,3522998440,3565181161,46317470,2247133089,46526416,417508920,3504561925,10898,18394774308,9124583791,4276,4276,8305,8305,8571,3,2598,80021,79057,0,15095,2460,955,965,964,137,953,10622519360,8913,964,8913
2.0,499200,1032750000,1866000000,0,10,50,5,3,0,950000,0,0.5,43.95504975318911,760798,505878107,3350871108,3308754897,55455978,1751971420,55672003,513986221,3363981666,13904,45653706333,7781035869,9226,9226,13760,13760,14153,41,2124,84246,83186,0,9736,2423,1051,1061,1060,140,1049,22940004160,11635,1060,11635
2.0,960000,1134750000,1866000000,0,10,5,5,0,0,500000,1,-1.0,43.538026094436596,783549,513045001,3394511362,3322434580,56133682,1762506066,56618173,525174629,3398059807,16250,44768744131,7759109129,10817,10817,15205,15205,15666,4,2057,87334,86274,0,9366,3078,1051,1061,1060,203,1049,26642221696,12215,1060,12215
2.0,1728000,1134750000,1062400000,0,10,50,5,0,0,950000,1,-1.0,54.335261106491096,750538,549646699,3870801120,3847439961,56102231,2431477244,57172696,564915984,3866690056,16640,27144452617,9853893493,6942,6942,11028,11028,11500,100,2681,103196,101902,0,10953,3176,1285,1295,1294,172,1283,15479907296,11665,1294,11665
2.0,2035200,1134750000,1600000000,0,10,50,5,3,1,500000,0,0.5,43.363934755325296,733786,504256690,3266513861,3307063045,54042605,1795972226,53129619,494239795,3202404372,12838,44620695622,7301977215,8905,8905,12897,12897,13284,1,1535,83463,82415,0,6566,2440,1039,1049,1048,146,1037,22667667488,10129,1048,10129
1.0,652800,930750000,1062400000,0,10,50,5,0,1,950000,1,0.9,60.359513759613,711628,622648089,3337429484,3384373978,60660843,1831901808,60908376,618512215,3353401181,23135,24006283586,8316838495,9170,9170,10650,10650,11180,4,0,116322,114866,0,14275,0,1447,1457,1456,12,1445,14795766112,17860,1456,17860
4.0,1420800,1300500000,1331200000,0,10,5,5,3,1,950000,0,0.9,45.5199024677277,781291,526147174,3659512870,3671663213,57227382,2086232600,57057722,526084058,3647952540,10323,40931668969,8707329667,9577,9577,18317,18317,18712,5,2255,92079,90971,0,20245,3389,1099,1109,1108,312,1097,29523782496,10478,1108,10478
3.0,1113600,1236750000,1062400000,0,10,50,5,3,0,950000,0,0.5,49.9249269962311,792149,574907898,3860517727,3796551374,59753201,2102499835,61157008,572422744,3850467351,13649,61947179936,9138090158,11720,11720,20225,20225,20675,34,2848,96964,95760,0,20012,3818,1195,1205,1204,238,1193,33363284800,12756,1204,12756
3.0,1881600,726750000,800000000,0,10,5,5,0,1,950000,1,0.5,67.3209218978882,695960,762176270,4872196290,4837780765,73072946,2661694487,73337164,782446564,4891787515,18069,88041909879,11512366337,16269,16269,28682,28682,29333,0,3401,126752,125128,0,28172,5029,1615,1625,1624,379,1613,47401136864,16536,1624,16536
1.0,960000,1300500000,1600000000,0,10,50,5,0,0,950000,0,0.5,70.3525674343109,978717,732788375,3990943289,4040739343,70419820,2212692752,69529253,734723068,4028355826,24870,22848859836,9757603349,12801,12801,18298,18298,18902,5,0,125335,123639,0,19659,0,1687,1697,1696,9,1685,25580744672,24534,1696,24534
3.0,1267200,726750000,1331200000,0,10,50,5,0,1,950000,0,-1.0,60.2646703720093,646166,695110666,4561882545,4589489626,65410129,2573730886,65778673,692048272,4575883229,15848,44217282811,10984185835,12249,12249,22717,22717,23296,3,3584,114133,112677,0,24477,4180,1447,1457,1456,309,1445,36173182336,14290,1456,14290
2.0,1574400,828750000,1600000000,0,10,50,5,3,1,500000,1,0.5,53.17141580581671,675924,601640655,3865660173,3951095294,65327924,2212198901,63970275,595655681,3820936174,20732,45260531973,9002769766,12249,12249,17707,17707,18229,35,2639,103029,101741,0,9805,3785,1279,1289,1288,236,1277,29566126080,15769,1288,15769
2.0,2035200,1134750000,665600000,0,10,50,5,3,0,500000,1,0.9,78.19356250762941,887461,866561431,5595241241,5576928709,87949225,3192979805,87605686,870851629,5565317702,54668,92308399179,13426552163,34781,34781,29224,29224,30144,30,3342,145592,143818,0,22840,5959,1765,1775,1774,276,1763,45804923840,41967,1774,41967
3.0,1267200,1134750000,1866000000,0,10,5,5,3,1,950000,0,-1.0,43.1843886375427,788853,481459025,3327609470,3348842738,54133715,1902492604,55228218,489646487,3448568890,9908,40237812593,8329937921,8321,8321,14706,14706,15071,5,2243,85591,84543,0,13574,2968,1039,1049,1048,211,1037,24074426784,9038,1048,9038
4.0,1420800,1300500000,1331200000,0,10,50,5,3,1,950000,0,0.9,45.319010972976706,774167,484514696,4380729857,4353278089,51308987,2958235797,51928243,484525389,4387011162,11025,21676588551,11606357467,5671,5671,12262,12262,12599,10,2805,91928,90832,0,20016,3081,1087,1097,1096,213,1085,16014621792,10267,1096,10267
1.0,1574400,726750000,665600000,0,10,50,5,0,1,500000,0,0.5,86.1588087081909,749128,885019098,4662766212,4669918592,80232631,2567177142,81005461,883214597,4676773312,29998,44117773574,11477471453,15712,15712,21660,21660,22388,11,0,150391,148311,0,23118,0,2071,2081,2080,10,2069,29923897984,29630,2080,29630
2.0,1881600,1032750000,1600000000,0,10,5,5,3,0,500000,0,0.9,45.150835752487204,705664,514983341,3340503149,3368911554,57114958,1816825026,56439739,520880137,3382954534,13557,48187798314,7960715291,9501,9501,13981,13981,14407,0,1748,87215,86119,0,10934,2522,1087,1097,1096,166,1085,24460426368,10820,1096,10820
2.0,1881600,1300500000,1866000000,0,10,50,5,3,1,950000,0,0.5,39.987450361251796,862642,497999441,3471103720,3449268868,54981920,1746681044,55034370,503092997,3444340883,14586,63724125560,7687576031,12050,12050,15881,15881,16251,0,1620,79374,78398,0,8890,2565,967,977,976,142,965,31416907904,11385,976,11385
2.0,499200,1032750000,1866000000,0,10,5,5,3,0,950000,0,0.5,47.0374958515167,782840,498881951,3444716592,3431469898,52382836,2040152212,53015761,491762349,3515702087,13258,21592685165,8737224149,5310,5310,8541,8541,8895,82,2753,89668,88536,0,10157,2632,1123,1133,1132,112,1121,11637403168,10426,1132,10426
3.0,1420800,930750000,1331200000,0,10,50,5,3,0,500000,1,0.5,52.0358488559723,663141,600401322,4044883704,3962574765,62383800,2188702315,62603380,615081917,4107144039,15561,46007498840,9719808044,11470,11470,19931,19931,20367,34,3167,102082,100818,0,22465,3797,1255,1265,1264,232,1253,33336502656,13573,1264,13573
3.0,1113600,1236750000,1062400000,0,10,5,5,3,0,950000,0,0.5,49.9737782478333,791966,578297636,3836687502,3909933936,59270988,2159865137,58549978,576045444,3802889432,12947,60807023687,8943650691,11272,11272,19665,19665,20118,12,2853,97198,95994,0,20789,3613,1195,1205,1204,240,1193,32962389184,11734,1204,11734
