num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,total_energy_consumption,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking
2,960000,1032750000,1600000000,0,60,5,5,3,1,950000,1,0.5,139.224220224945,826281,1770014361,5542478823,8502854578,126685935,8107563398,78825125,1659030751,4942346765,85993,53209398374,31810149540,28337,11378,28291,67190,62760,54,7971,164868,125358,0,49131,7267,4188,2422,1372,612,3972,95362384964,55331,1031,74331
3,1113600,828750000,665600000,0,10,50,5,3,0,500000,1,-1,136.285099903386,1243075,1368318873,10477223726,7755815641,137186779,6481832422,41272437,1259376945,4391210996,94551,161286943701,28867161902,51049,17839,50188,59219,50248,9,4328,237778,178746,0,66956,2808,942,2557,4108,399,1940,116779264458,46236,2726,51793
3,1728000,1236750000,800000000,0,10,50,5,3,0,950000,0,0.9,89.0087173971056,1087319,1566294660,6694317822,7896564989,54469935,7665529364,112622293,1268008860,4852747449,23386,23122036602,12467740426,33811,6508,27046,9374,62617,92,501,107144,157989,0,22037,5358,1278,2512,917,7,1225,92753743380,24846,1134,41151
2,1881600,1236750000,800000000,0,60,50,50,3,1,500000,1,-1,33.3183828792526,1221331,1417740311,7610553582,7179855827,147715430,1878683852,119235822,441195560,11659209013,36228,27340196678,8842406215,12166,10237,23718,45804,53018,104,4682,155472,70096,0,19060,2245,2825,935,3035,240,1967,80556098912,52416,2339,52884
1,1881600,930750000,1331200000,0,10,5,50,0,1,950000,1,0.5,86.8243060615106,1096994,1102527606,11177156994,10142496249,71740092,3147907343,59776449,575339730,2600904642,14500,82230317712,24086975709,38492,29957,54969,52314,29621,63,6409,121483,227071,0,63248,1722,3882,3815,2254,289,3059,44308698281,53932,2593,45558
3,806400,624750000,1600000000,0,60,50,50,3,0,500000,1,-1,94.8464102267601,1151550,1299450460,11697045244,6991341846,55497020,3865236409,83209978,1440727067,3230907936,55295,109274335896,12730279016,42662,31128,13501,62834,65799,59,5812,297407,137709,0,5758,5845,2900,2287,2038,681,4130,83113202169,57018,1925,34425
3,1420800,828750000,1062400000,0,10,50,5,3,1,500000,1,0.9,155.770187427066,427429,1536085429,7093329650,10943667189,115247541,5429003376,104480203,1021538180,7121733370,12641,24704044506,13295331796,7009,53202,67479,13940,57600,176,8095,287415,99536,0,21116,1340,2161,3332,1751,815,4192,8913789094,61327,3083,24776
4,1574400,1032750000,1062400000,0,100,5,5,0,1,950000,0,0.9,83.0776885507192,522672,1349259318,5218577364,9857838752,112901282,1376250396,56258930,785763510,2849755744,49631,116030922460,26166859607,19266,19671,14556,27358,72202,164,6156,66434,294737,0,32443,6543,1572,4056,2380,163,1343,24544289985,34309,1739,63883
3,1574400,828750000,1866000000,0,10,5,5,0,0,950000,1,-1,41.4686835113855,1355823,858552655,6802693723,6829514644,118105531,7386154836,117140358,1626523453,10084574106,72484,43659423055,26806229208,36278,14569,21976,62375,45665,181,2279,154991,110245,0,65973,9583,2227,2050,1207,620,3812,100357444942,83256,3081,82530
3,1728000,1300500000,1062400000,0,10,5,5,0,0,500000,0,0.9,117.594940957731,775622,1567855271,5308594918,3292683170,118972928,3888021681,64545892,1442110809,2604967760,51702,80904333714,23088040183,47959,15177,57482,44828,57212,26,6778,132763,197027,0,22668,5821,3440,3519,1370,24,2660,23100730997,39631,4057,7236
3,499200,1032750000,1866000000,0,60,50,5,3,1,500000,0,0.5,132.676112310254,770548,793990953,8370016077,7220890233,139138926,4966031467,127836104,682844579,11930126534,48330,94089809157,22711808387,37964,47342,11812,8572,23459,116,5704,225975,289598,0,40403,7338,1222,1271,3940,784,3685,61262692003,48841,2393,15012
1,2035200,1236750000,1866000000,0,10,5,50,0,1,950000,1,0.5,116.596328713496,701010,970220539,7956046413,7938128295,84715174,6452223498,123756175,1194167466,4046255186,26541,75892746892,12782613724,16387,64543,66042,73457,50789,136,914,263270,139906,0,36635,8862,2506,2217,716,178,2699,24535638153,35513,879,30602
2,1574400,1032750000,800000000,0,60,5,5,0,1,950000,1,0.9,83.8448773537427,921653,526475854,5363608811,4756497465,92306016,7678318913,146333659,743007162,6121429974,69149,63970421375,22969968512,63362,22488,42934,44014,22984,48,863,245081,265721,0,39813,8629,3373,2223,2795,595,3674,101734115760,30329,4096,74179
4,1113600,1032750000,1866000000,0,100,5,5,3,1,950000,1,0.5,159.016100420065,522714,569351732,9636256469,9453796448,116374104,6356891183,122739778,1352895968,9038067552,18694,126328933084,17742467451,12372,38107,32316,40705,55611,151,9446,265368,198706,0,18766,3490,1594,947,2414,482,1190,22132516497,70841,4032,22580
4,2035200,1300500000,1600000000,0,10,5,50,0,1,500000,0,-1,120.988509461059,1146100,1483781708,6866075264,11781686070,113528458,7843736800,116556916,1246976188,5372695817,42978,128806757664,24701705298,62941,24571,40119,55403,38139,166,8584,162113,207730,0,78709,6638,2155,1975,3674,476,3082,9766305060,55599,1543,26452
3,345600,1134750000,1866000000,0,60,5,5,0,1,950000,0,0.9,164.624441460548,987090,1267287536,3683406322,4434515852,96122437,4903120108,58499592,467387111,11956300737,15145,36911858162,18127933425,50396,25847,31809,34751,35912,5,9079,84552,87890,0,76395,310,1932,2260,2974,827,2633,11067809521,28972,2261,16354
2,1881600,1300500000,800000000,0,60,50,5,0,0,950000,0,0.5,116.389258323925,748196,670224688,10258110596,11063194647,154294936,4232941999,157864002,461933342,7644726277,34415,67287386221,19994987783,28992,60667,24866,20538,67988,178,8357,185477,114394,0,49091,7670,2621,2235,1548,652,1164,112994101764,74768,1560,33153
3,1728000,930750000,1331200000,0,60,5,5,0,0,950000,1,0.9,95.4340899037058,435083,592369252,4731633332,7347193170,155698750,1817734093,78731634,467579102,2962416525,29353,66425928785,28224556220,54357,37399,54966,63565,61127,8,7242,273590,197452,0,67515,5861,1189,2682,3955,369,3565,117310215831,36131,2726,46478
3,806400,1236750000,1866000000,0,10,50,50,0,1,950000,0,-1,27.3702388780281,1297932,486875839,3909608053,9824824311,88949973,1393151597,137993316,1449698246,2526863514,26411,113900881994,18632176668,19315,59455,37832,63261,70523,19,683,285010,242113,0,72095,8565,1847,1778,1545,491,1493,95735251299,10319,3952,65540
1,806400,930750000,1062400000,0,60,5,5,3,1,500000,1,0.9,138.545483104718,1155905,473030755,3976854724,4363174874,103892050,2719871997,130968868,1302958933,4903598895,34822,35756250643,11043995808,47829,43859,65480,22196,41641,180,1778,65620,268010,0,71851,7688,1332,1694,3738,360,3511,95958176673,13140,744,20455
3,806400,1134750000,1331200000,0,10,50,50,0,1,950000,0,-1,160.363201909843,941960,1682059564,10331531895,3296795949,65330075,8182078188,58000881,563090840,5808117012,20118,56755116822,14507784009,23028,44314,43983,26121,67355,215,4014,232143,281022,0,42498,10883,2910,1437,3135,818,2194,79128927240,42804,4003,43745
2,1574400,1300500000,800000000,0,60,5,5,3,0,950000,1,0.9,82.9652585236652,964868,1448059893,6290454724,5660018516,102753877,6412159937,135165507,1359449226,7003741699,32372,169898352768,29530081477,57986,30195,59632,47276,31567,110,8197,224357,114070,0,14421,829,2972,2157,3228,519,1212,68737419806,11517,3000,15459
3,1267200,828750000,1331200000,0,10,50,5,3,0,500000,0,-1,60.7349478992579,873458,1233280432,2988176007,5688924031,78081680,5039327649,84506744,640466001,5218704326,93254,35236646468,27830011772,23054,55803,10717,69348,44498,145,5531,187316,249569,0,25856,7410,1167,3388,3950,583,856,28076900953,73449,841,38973
2,1113600,1134750000,1866000000,0,60,50,50,0,0,500000,0,0.9,61.9925681152422,748786,917512684,7935376028,2903760511,52264168,4558044583,55239876,509155823,6796530053,14916,160535351135,9809055030,58998,8287,21687,48384,58385,206,7380,247511,260280,0,79907,1799,738,1379,4021,772,3545,89059754193,70058,3558,64260
2,345600,624750000,1331200000,0,10,5,5,3,1,950000,0,0.5,30.603670036929,417676,991986647,2515181187,8008244362,100468118,2764309891,61667781,446163282,10952015542,15582,30891828462,24681492383,61904,19140,65367,72175,16118,171,372,270136,103141,0,9171,10889,2103,948,2085,206,2051,67891297328,30740,1531,69706
2,1267200,930750000,665600000,0,60,5,5,0,1,500000,0,0.5,88.1931617444967,415992,1688881577,9011504353,10508477188,127570038,8016516592,77123296,917996974,8128063006,81485,124984300292,26944678773,30106,39512,54167,9845,59157,89,5476,280360,126951,0,61305,5964,3868,921,1100,149,2222,93051511430,28450,3046,58981
3,1113600,624750000,1866000000,0,10,50,50,0,1,500000,1,-1,153.841297093984,796352,1813268842,11346959246,6425549280,152190984,6355612278,111644676,1706332795,5909281501,42684,39634174373,15065749421,37442,61620,61660,57406,49340,24,3125,169314,91364,0,35785,3134,3554,3733,1397,179,1406,65797276413,46668,720,46970
3,2035200,1236750000,800000000,0,10,5,5,3,1,950000,1,0.5,73.5220101893171,1000646,1349367083,5601346878,10127495062,75965118,3739497367,75894790,664465830,10706015653,90973,127678839715,19945758510,50496,7143,56612,37273,49150,89,4322,200705,288298,0,71610,7777,779,2173,3264,576,2320,94063771590,53462,2498,66530
3,1267200,828750000,1600000000,0,10,50,5,0,1,950000,1,0.5,120.381981970861,861211,909885103,7467025135,6563500475,59441687,6988034768,47326766,338024306,8132941444,27934,56433256570,22905072628,36163,3449,66299,34695,62778,148,8901,161371,79703,0,78761,10925,3019,2456,4090,325,3432,32883117186,28800,1736,54727
3,2035200,1134750000,1062400000,0,10,50,50,0,1,950000,1,0.9,148.651341029771,520775,1453238816,6290707176,9873874187,127827922,2111112005,56984925,1132757321,4999017183,39182,28540939858,6326416400,42036,52029,32013,72873,7989,69,6996,148958,276398,0,28757,5606,1412,2403,2646,229,3723,23522864948,28219,2596,55408
2,1420800,828750000,1062400000,0,60,50,50,0,1,950000,0,0.5,78.5438116559666,845429,942996007,3279378231,10841357861,87035398,5899538932,145669079,403465338,9781679574,79278,103070883179,17709996983,28453,36271,48833,25685,42850,136,4537,84996,111426,0,11185,3023,3260,1712,3076,801,2859,17638742431,73019,1416,38734
