num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,total_energy_consumption,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking
2.0,1632000,691200000,665600000,0,10,80,50,0,1,950000,0,0.9,12.7791318893,141007,81441984,823760438,863806239,17271014,416598077,16772855,81090121,832358344,9499,3651203425,1804439251,6334,6334,1713,1713,1767,1,185,28372,28215,0,0,57,157,158,157,11,155,2513793188,9874,314,7848
2.0,714000,614400000,1600000000,500,60,80,5,3,1,950000,0,0.5,17.4574239254,165954,130186330,1262063054,1270346349,23392871,644669435,23535527,129524186,1282852920,22651,4132412161,2712441329,16382,16382,4130,4130,4274,25,216,31488,31277,0,0,92,211,212,211,20,209,6387289710,23963,422,19251
3.0,816000,844800000,800000000,0,100,10,5,0,1,950000,1,0.5,15.821449995,160261,98581019,983004609,984125237,17954111,491965031,18112652,99815881,986001375,13020,3551183518,2106615836,8264,8264,3107,3107,3168,1,226,30665,30472,0,0,43,193,194,193,26,191,4793286673,13517,386,9764
2.0,612000,614400000,800000000,0,100,10,50,3,1,950000,0,-1.0,20.681447982799998,164277,160793358,1527178778,1523844021,25578725,759375032,25677205,163005145,1538082038,32934,5066317810,3236232148,24263,24263,5189,5189,5308,25,312,34260,34007,0,0,116,253,254,253,30,251,9131118072,35454,506,27105
3.0,612000,921600000,1600000000,500,10,80,50,3,0,500000,0,-1.0,16.3190870285,180258,108322633,1106441435,1096620703,19585013,537592788,19739913,109648221,1088861268,15499,3497669052,2318253716,9279,9279,4162,4162,4274,25,255,31002,30803,0,0,64,199,200,199,26,197,6250380941,16532,398,12086
2.0,1326000,614400000,665600000,0,60,10,5,3,1,500000,0,0.9,14.3202030659,133271,94403945,948568629,976429969,18446648,466578441,18326160,91211447,968386787,13036,3938589397,2081023636,6905,6905,2248,2248,2299,25,193,29306,29131,0,0,72,175,176,175,23,173,3259402431,13595,350,9641
3.0,1428000,460800000,1331200000,100,60,10,50,3,0,950000,1,0.9,13.639461040499999,137056,84654696,916751608,912443846,18544840,446706659,19003152,86111846,907043483,9658,3512525730,1963177809,5570,5570,1883,1883,1960,25,186,29138,28969,0,0,21,169,170,169,23,167,2630452411,9999,338,8781
2.0,1632000,998400000,1600000000,0,60,80,5,0,1,950000,1,-1.0,9.687579870219999,150012,67965004,800889287,815824130,16248196,382962105,15976645,70213489,788874533,9047,2816596092,1642637424,6057,6057,1071,1071,1134,1,100,26199,26078,0,0,25,121,122,121,14,119,1930220929,9405,242,7354
3.0,102000,460800000,1600000000,0,100,10,50,0,1,500000,0,-1.0,101.668972015,345922,377327278,2992921848,2991801341,50375062,1650098993,50327355,376644463,2993394039,59567,10507847588,6530471478,52403,52403,48363,48363,49739,1,2138,65456,64782,0,0,1041,673,675,674,464,671,113424882684,66055,1348,51469
4.0,1555000,998400000,1600000000,100,100,80,5,0,1,950000,1,0.5,9.15984892845,144634,61490730,736552016,738782615,14535011,346793709,14408811,60305915,732688700,6099,2603587583,1567815790,2397,2397,1346,1346,1395,1,127,25703,25588,0,0,11,115,116,115,16,113,1838542561,6277,230,3450
